image,hand_length_mm,hand_width_mm,palm_height_mm,palm_width_mm,thumb_mm,index_mm,middle_mm,ring_mm,pinky_mm
kareem.jpeg,671.92,377.45,328.71,242.35,182.52,308.3,343.21,324.21,250.06
khyati.jpeg,567.4,287.51,296.98,202.43,157.27,254.26,271.81,256.2,213.11
navneet.jpeg,858.41,404.94,435.63,279.31,251.6,370.39,423.17,379.74,296.64
pratibha.jpeg,828.31,441.5,451.89,277.14,229.94,324.03,376.7,350.75,279.26
rishabh.jpeg,574.46,326.66,293.64,197.61,170.46,248.57,280.83,260.38,206.74
rishi.jpeg,637.73,319.95,327.77,204.02,178.35,263.61,310.27,290.76,233.0
sonu.jpeg,656.25,339.27,333.64,216.38,200.77,291.56,324.35,288.01,223.44
sunayna.jpeg,663.34,366.39,367.58,214.84,212.45,277.75,296.14,270.88,222.0
vandana.jpeg,647.01,301.23,340.21,178.35,212.08,272.01,307.48,286.1,229.71
yogesh.jpeg,679.01,363.62,346.17,241.03,212.53,300.17,333.92,304.57,246.89
